file_last_modified_date,delivery_code_ref,orga_name,orga_code_ref,file_name,url,study_name,study_code_ref,delivery_name
"2024-12-09T14:20:35.598858+01:00","INVA-1080-7958","Invattur","INVA","Alicante Provincia.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7958/Alicante Provincia.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","6. Octubre y noviembre de 2024"
"2024-12-09T14:20:41.639071+01:00","INVA-1080-7958","Invattur","INVA","Calpe Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7958/Calpe Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","6. Octubre y noviembre de 2024"
"2024-12-09T14:21:00.439733+01:00","INVA-1080-7958","Invattur","INVA","Valencia Playa.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7958/Valencia Playa.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","6. Octubre y noviembre de 2024"
"2024-12-09T14:20:29.530644+01:00","INVA-1080-7958","Invattur","INVA","Malaga Centro.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7958/Malaga Centro.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","6. Octubre y noviembre de 2024"
"2024-12-09T14:20:21.302354+01:00","INVA-1080-7958","Invattur","INVA","Castellon Provincia.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7958/Castellon Provincia.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","6. Octubre y noviembre de 2024"
"2024-12-09T14:20:44.335166+01:00","INVA-1080-7958","Invattur","INVA","Adeje - Arona Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7958/Adeje - Arona Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","6. Octubre y noviembre de 2024"
"2024-12-09T14:20:42.879114+01:00","INVA-1080-7958","Invattur","INVA","San Bartolome de Tirajana Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7958/San Bartolome de Tirajana Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","6. Octubre y noviembre de 2024"
"2024-12-09T14:20:27.894587+01:00","INVA-1080-7958","Invattur","INVA","Valencia Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7958/Valencia Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","6. Octubre y noviembre de 2024"
"2024-12-09T14:20:24.526468+01:00","INVA-1080-7958","Invattur","INVA","Castellon Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7958/Castellon Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","6. Octubre y noviembre de 2024"
"2024-12-09T14:20:49.763357+01:00","INVA-1080-7958","Invattur","INVA","Torrevieja Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7958/Torrevieja Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","6. Octubre y noviembre de 2024"
