DATAFLOW,LAST UPDATE,freq,indic_to,c_resid,month,unit,geo,TIME_PERIOD,OBS_VALUE
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,PT15,2023,6078
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,PT15,2024,8450
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,PT17,2018,11878
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,PT17,2019,11969
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,PT17,2020,18413
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,PT17,2021,13447
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,PT17,2022,14945
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,PT17,2023,18246
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,PT17,2024,22365
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,EL3,2018,17383
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,EL3,2019,25895
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,EL3,2020,21172
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,EL3,2021,25380
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,EL3,2022,37218
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,EL3,2023,44413
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,EL3,2024,58500
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,EL62,2018,513
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,EL62,2019,1130
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,EL62,2020,459
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,EL62,2021,503
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,EL62,2022,1815
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,EL62,2023,1753
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,EL62,2024,3610
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,EL65,2018,1520
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,EL65,2019,5976
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,EL65,2020,1965
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,EL65,2021,724
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,EL65,2022,8302
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,EL65,2023,5680
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,EL65,2024,13915
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,ES22,2018,3791
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,ES22,2019,3847
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,ES22,2020,1750
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,ES22,2021,2477
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,ES22,2022,4395
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,ES22,2023,5770
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,ES22,2024,11675
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,ES30,2018,66926
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,ES30,2019,67348
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,ES30,2020,33403
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,ES30,2021,45927
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,ES30,2022,62125
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,ES30,2023,82548
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,ES30,2024,117640
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,ES51,2018,80066
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,ES51,2019,54637
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,ES51,2020,31837
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M03,NR,ES51,2021,69489
