DATAFLOW,LAST UPDATE,freq,indic_to,c_resid,unit,cities,TIME_PERIOD,OBS_VALUE
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES071C,2022,151342
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES071C,2023,169476
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES080C,2018,63216
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES080C,2019,73595
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES080C,2020,70188
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES080C,2021,104835
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES080C,2022,115779
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES080C,2023,120067
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES085C,2018,73395
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES085C,2019,97564
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES085C,2020,66121
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES085C,2021,114996
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES085C,2022,131562
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES085C,2023,139461
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES086C,2018,37686
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES086C,2019,45431
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES086C,2020,39024
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES086C,2021,51497
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES086C,2022,61807
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES086C,2023,78257
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES089C,2018,23762
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES089C,2019,21589
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES089C,2020,17790
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES089C,2021,21585
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES089C,2022,22363
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES089C,2023,17801
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES096C,2018,51133
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES096C,2019,54605
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES096C,2020,40463
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES096C,2021,58377
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES096C,2022,70669
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES096C,2023,78332
