AIRPORTIATACODE,ID,AIRPORTICAOCODE,TERMINALCODE,AIRPORTNAME,CITYCODE,CITYNAME,COUNTRYCODE,REGIONCODE,COUNTRYNAME,ISO_CODE,SUBCONTINENTCODE,REGIONNAME,SUBCONTINENTNAME,CONTINENTCODE,CONTINENTNAME,ACTIVESTATUS,AIRPORTLATITUDE,AIRPORTLONGITUDE,LOAD_TIME
PZK,6779,NCPK,,Pukapuka Island Airport,PZK,Pukapuka Atoll,CK,,Cook Islands,COK,OCEA,,Oceania,OC,Oceania,1,-10.911279,-165.835424,
PZL,6780,FADQ,,Zulu Inyala Airport,PZL,Phinda,ZA,,South Africa,ZAF,SAFR,,Subsaharan Africa,AF,Africa,1,-27.8494,32.3097,
PZO,6781,SVPR,,Manuel Carlos Piar Guayana Airport,PZO,Puerto Ordaz,VE,,Venezuela,VEN,SAME,,South America,AM,America,1,8.286533,-62.759138,
PZS,6782,,,Temuco - Maquehue Airport,ZCO,Temuco,CL,,Chile,CHL,SAME,,South America,AM,America,1,-38.76694444,-72.63722222,
PZU,6783,HSSP,,Port Sudan Airport,PZU,Port Sudan,SD,,Sudan,SDN,NAFR,,North Africa,AF,Africa,1,19.577778,37.213889,
PZY,6784,LZPP,,Piestany Airport,PZY,Piestany,SK,,Slovakia,SVK,EEUR,,Central/Eastern Europe,EU,Europe,1,48.623731,17.82808,
QAC,6785,SSQT,,Castro,QAC,Castro,BR,BR_PR,Brazil,BRA,SAME,Parana,South America,AM,America,1,-24.875,-50.052778,
QAD,6786,,,Pordenone,AVB,Aviano,IT,,Italy,ITA,SEUR,,Southern Europe,EU,Europe,1,45.96388889,12.6575,
QAE,6787,,,Arzew,ORN,Oran,DZ,,Algeria,DZA,NAFR,,North Africa,AF,Africa,1,35.83333333,-0.316666667,
QAG,6788,,,El Ghazaouet,QAG,El Ghazaouet,DZ,,Algeria,DZA,NAFR,,North Africa,AF,Africa,1,35.13333333,-1.833333333,
QAH,6789,,,Alcantara,GMS,Guimaraes,BR,BR_MA,Brazil,BRA,SAME,Maranhao,South America,AM,America,1,-2.416666667,-44.46666667,
QAI,6790,,,Aime,QAI,Aime,FR,FRAUR,France,FRA,WEUR,Auvergne and Rhone-Alpes,Western Europe,EU,Europe,1,45.55,6.65,
